Structure	Affinity_kcal-mol
scfv_0_8_vs_cld24_human_model_model0	 -11.170
scfv_0_8_vs_cld25_human_model_model0	 -12.138
scfv_0_8_vs_cld2_human_model_model0	  -9.263
scfv_0_8_vs_cld34_human_model_model0	 -10.855
scfv_0_8_vs_cld3_human_model_model0	  -7.721
scfv_0_8_vs_cld5_human_model_model0	  -7.119
scfv_0_8_vs_cld6_human_model_model0	  -8.902
scfv_0_8_vs_cld7_human_model_model0	  -8.271
scfv_0_8_vs_cld8_human_model_model0	  -8.547
scfv_0_8_vs_cld9_human_model_model0	  -9.459
scfv_23_7_vs_cld10_human_model_model0	  -8.984
scfv_23_7_vs_cld11_human_model_model0	 -10.490
scfv_23_7_vs_cld12_human_model_model0	 -11.354
scfv_23_7_vs_cld14_human_model_model0	 -12.869
scfv_23_7_vs_cld15_human_model_model0	  -7.643
scfv_23_7_vs_cld16_human_model_model0	  -8.793
scfv_23_7_vs_cld17_human_model_model0	 -16.401
scfv_23_7_vs_cld182_human_model_model0	 -11.008
scfv_23_7_vs_cld18_human_model_model0	 -11.717
scfv_23_7_vs_cld19_human_model_model0	  -8.519
scfv_23_7_vs_cld1_human_model_model0	  -9.605
scfv_23_7_vs_cld20_human_model_model0	 -11.331
scfv_23_7_vs_cld22_human_model_model0	 -10.983
scfv_23_7_vs_cld23_human_model_model0	  -7.921
scfv_23_7_vs_cld24_human_model_model0	 -10.729
scfv_23_7_vs_cld25_human_model_model0	  -9.477
scfv_23_7_vs_cld2_human_model_model0	 -10.781
scfv_23_7_vs_cld34_human_model_model0	  -9.362
scfv_23_7_vs_cld3_human_model_model0	 -10.331
scfv_23_7_vs_cld5_human_model_model0	  -7.305
scfv_23_7_vs_cld6_human_model_model0	  -9.259
scfv_23_7_vs_cld7_human_model_model0	  -8.038
scfv_23_7_vs_cld8_human_model_model0	 -12.253
scfv_23_7_vs_cld9_human_model_model0	  -9.541
scfv_25_2_vs_cld10_human_model_model0	 -11.519
scfv_25_2_vs_cld11_human_model_model0	  -9.658
scfv_25_2_vs_cld12_human_model_model0	 -11.159
scfv_25_2_vs_cld14_human_model_model0	  -9.638
scfv_25_2_vs_cld15_human_model_model0	  -9.034
scfv_25_2_vs_cld16_human_model_model0	  -9.681
scfv_25_2_vs_cld17_human_model_model0	 -12.268
scfv_25_2_vs_cld182_human_model_model0	 -10.483
scfv_25_2_vs_cld18_human_model_model0	 -10.138
scfv_25_2_vs_cld19_human_model_model0	  -8.392
scfv_25_2_vs_cld1_human_model_model0	 -10.337
scfv_25_2_vs_cld20_human_model_model0	  -7.725
scfv_25_2_vs_cld22_human_model_model0	 -12.867
scfv_25_2_vs_cld23_human_model_model0	 -10.230
scfv_25_2_vs_cld24_human_model_model0	 -13.453
scfv_25_2_vs_cld25_human_model_model0	 -13.479
scfv_25_2_vs_cld2_human_model_model0	 -10.632
scfv_25_2_vs_cld34_human_model_model0	  -9.936
scfv_25_2_vs_cld3_human_model_model0	  -9.970
scfv_25_2_vs_cld5_human_model_model0	  -9.063
scfv_25_2_vs_cld6_human_model_model0	  -9.738
scfv_25_2_vs_cld7_human_model_model0	  -9.599
scfv_25_2_vs_cld8_human_model_model0	 -12.607
scfv_25_2_vs_cld9_human_model_model0	 -10.173
scfv_25_4_vs_cld10_human_model_model0	  -9.915
scfv_25_4_vs_cld11_human_model_model0	  -7.332
scfv_25_4_vs_cld12_human_model_model0	 -10.130
scfv_25_4_vs_cld14_human_model_model0	 -10.296
scfv_25_4_vs_cld15_human_model_model0	 -10.572
scfv_25_4_vs_cld16_human_model_model0	 -10.262
scfv_25_4_vs_cld17_human_model_model0	  -8.940
scfv_25_4_vs_cld182_human_model_model0	  -7.374
scfv_25_4_vs_cld18_human_model_model0	  -8.935
scfv_25_4_vs_cld19_human_model_model0	  -7.682
scfv_25_4_vs_cld1_human_model_model0	  -9.197
scfv_25_4_vs_cld20_human_model_model0	  -8.507
scfv_25_4_vs_cld22_human_model_model0	 -13.335
scfv_25_4_vs_cld23_human_model_model0	 -10.321
scfv_25_4_vs_cld24_human_model_model0	  -9.608
scfv_25_4_vs_cld25_human_model_model0	  -7.686
scfv_25_4_vs_cld2_human_model_model0	 -10.184
scfv_25_4_vs_cld34_human_model_model0	 -11.393
scfv_25_4_vs_cld3_human_model_model0	  -8.552
scfv_25_4_vs_cld5_human_model_model0	  -9.137
scfv_25_4_vs_cld6_human_model_model0	 -12.488
scfv_25_4_vs_cld7_human_model_model0	  -8.792
scfv_25_4_vs_cld8_human_model_model0	 -12.661
scfv_25_4_vs_cld9_human_model_model0	 -10.711
scfv_37_1_vs_cld10_human_model_model0	 -10.490
scfv_37_1_vs_cld11_human_model_model0	  -9.343
scfv_37_1_vs_cld12_human_model_model0	 -12.173
scfv_37_1_vs_cld14_human_model_model0	 -12.134
scfv_37_1_vs_cld15_human_model_model0	  -9.526
scfv_37_1_vs_cld16_human_model_model0	 -10.376
scfv_37_1_vs_cld17_human_model_model0	 -12.968
scfv_37_1_vs_cld182_human_model_model0	 -12.283
scfv_37_1_vs_cld18_human_model_model0	 -10.492
scfv_37_1_vs_cld19_human_model_model0	  -8.510
scfv_37_1_vs_cld1_human_model_model0	 -11.235
scfv_37_1_vs_cld20_human_model_model0	  -9.531
scfv_37_1_vs_cld22_human_model_model0	 -13.691
scfv_37_1_vs_cld23_human_model_model0	 -10.462
scfv_37_1_vs_cld24_human_model_model0	 -13.904
scfv_37_1_vs_cld25_human_model_model0	 -11.896
scfv_37_1_vs_cld2_human_model_model0	 -11.224
scfv_37_1_vs_cld34_human_model_model0	  -8.861
scfv_37_1_vs_cld3_human_model_model0	  -9.137
scfv_37_1_vs_cld5_human_model_model0	 -12.486
scfv_37_1_vs_cld6_human_model_model0	 -10.722
scfv_37_1_vs_cld7_human_model_model0	 -11.739
scfv_37_1_vs_cld8_human_model_model0	 -11.763
scfv_37_1_vs_cld9_human_model_model0	  -9.702
scfv_39_0_vs_cld10_human_model_model0	 -10.681
scfv_39_0_vs_cld11_human_model_model0	 -10.422
scfv_39_0_vs_cld12_human_model_model0	 -12.117
scfv_39_0_vs_cld14_human_model_model0	  -8.679
scfv_39_0_vs_cld15_human_model_model0	 -10.922
scfv_39_0_vs_cld16_human_model_model0	 -14.352
scfv_39_0_vs_cld17_human_model_model0	 -11.440
scfv_39_0_vs_cld182_human_model_model0	  -9.782
scfv_39_0_vs_cld18_human_model_model0	  -9.668
scfv_39_0_vs_cld19_human_model_model0	 -11.086
scfv_39_0_vs_cld1_human_model_model0	 -11.236
scfv_39_0_vs_cld20_human_model_model0	 -11.296
scfv_39_0_vs_cld22_human_model_model0	 -13.177
scfv_39_0_vs_cld23_human_model_model0	 -11.236
scfv_39_0_vs_cld24_human_model_model0	 -13.108
scfv_39_0_vs_cld25_human_model_model0	 -13.962
scfv_39_0_vs_cld2_human_model_model0	 -11.129
scfv_39_0_vs_cld34_human_model_model0	  -9.597
scfv_39_0_vs_cld3_human_model_model0	 -10.325
scfv_39_0_vs_cld5_human_model_model0	 -11.005
scfv_39_0_vs_cld6_human_model_model0	 -11.908
scfv_39_0_vs_cld7_human_model_model0	  -8.063
scfv_39_0_vs_cld8_human_model_model0	 -11.791
scfv_39_0_vs_cld9_human_model_model0	 -11.664
scfv_39_1_vs_cld10_human_model_model0	 -11.691
scfv_39_1_vs_cld11_human_model_model0	  -9.483
scfv_39_1_vs_cld12_human_model_model0	 -12.220
scfv_39_1_vs_cld14_human_model_model0	 -12.229
scfv_39_1_vs_cld15_human_model_model0	  -9.147
scfv_39_1_vs_cld16_human_model_model0	 -13.823
scfv_39_1_vs_cld17_human_model_model0	 -12.311
scfv_39_1_vs_cld182_human_model_model0	 -13.471
scfv_39_1_vs_cld18_human_model_model0	 -12.778
scfv_39_1_vs_cld19_human_model_model0	 -11.112
scfv_39_1_vs_cld1_human_model_model0	 -10.802
scfv_39_1_vs_cld20_human_model_model0	  -9.494
scfv_39_1_vs_cld22_human_model_model0	 -10.827
scfv_39_1_vs_cld23_human_model_model0	 -12.925
scfv_39_1_vs_cld24_human_model_model0	  -9.728
scfv_39_1_vs_cld25_human_model_model0	  -9.124
scfv_39_1_vs_cld2_human_model_model0	  -9.368
scfv_39_1_vs_cld34_human_model_model0	 -13.383
scfv_39_1_vs_cld3_human_model_model0	 -11.562
scfv_39_1_vs_cld5_human_model_model0	 -12.592
scfv_39_1_vs_cld6_human_model_model0	 -11.812
scfv_39_1_vs_cld7_human_model_model0	 -11.994
scfv_39_1_vs_cld8_human_model_model0	 -11.156
scfv_39_1_vs_cld9_human_model_model0	 -10.983
scfv_39_2_vs_cld10_human_model_model0	  -8.745
scfv_39_2_vs_cld11_human_model_model0	 -11.472
scfv_39_2_vs_cld12_human_model_model0	 -10.327
scfv_39_2_vs_cld14_human_model_model0	  -9.869
scfv_39_2_vs_cld15_human_model_model0	  -9.027
scfv_39_2_vs_cld16_human_model_model0	 -15.131
scfv_39_2_vs_cld17_human_model_model0	 -11.505
scfv_39_2_vs_cld182_human_model_model0	 -14.801
scfv_39_2_vs_cld18_human_model_model0	 -13.804
scfv_39_2_vs_cld19_human_model_model0	 -11.667
scfv_39_2_vs_cld1_human_model_model0	 -12.049
scfv_39_2_vs_cld20_human_model_model0	 -12.382
scfv_39_2_vs_cld22_human_model_model0	 -10.247
scfv_39_2_vs_cld23_human_model_model0	 -12.854
scfv_39_2_vs_cld24_human_model_model0	  -9.539
scfv_39_2_vs_cld25_human_model_model0	  -8.570
scfv_39_2_vs_cld2_human_model_model0	 -12.828
scfv_39_2_vs_cld34_human_model_model0	  -9.749
scfv_39_2_vs_cld3_human_model_model0	 -11.508
scfv_39_2_vs_cld5_human_model_model0	 -12.851
scfv_39_2_vs_cld6_human_model_model0	  -9.666
scfv_39_2_vs_cld7_human_model_model0	 -12.717
scfv_39_2_vs_cld8_human_model_model0	 -12.762
scfv_39_2_vs_cld9_human_model_model0	 -11.000
scfv_39_3_vs_cld10_human_model_model0	 -12.405
scfv_39_3_vs_cld11_human_model_model0	  -8.890
scfv_39_3_vs_cld12_human_model_model0	 -10.171
scfv_39_3_vs_cld14_human_model_model0	 -10.762
scfv_39_3_vs_cld15_human_model_model0	 -11.038
scfv_39_3_vs_cld16_human_model_model0	 -10.332
scfv_39_3_vs_cld17_human_model_model0	 -13.602
scfv_39_3_vs_cld182_human_model_model0	 -11.574
scfv_39_3_vs_cld18_human_model_model0	 -13.333
scfv_39_3_vs_cld19_human_model_model0	 -11.700
scfv_39_3_vs_cld1_human_model_model0	  -8.119
scfv_39_3_vs_cld20_human_model_model0	 -11.447
scfv_39_3_vs_cld22_human_model_model0	 -13.945
scfv_39_3_vs_cld23_human_model_model0	 -13.504
scfv_39_3_vs_cld24_human_model_model0	 -13.023
scfv_39_3_vs_cld25_human_model_model0	 -12.405
scfv_39_3_vs_cld2_human_model_model0	 -13.946
scfv_39_3_vs_cld34_human_model_model0	  -9.485
scfv_39_3_vs_cld3_human_model_model0	  -9.783
scfv_39_3_vs_cld5_human_model_model0	 -11.420
scfv_39_3_vs_cld6_human_model_model0	  -9.855
scfv_39_3_vs_cld7_human_model_model0	  -8.361
scfv_39_3_vs_cld8_human_model_model0	 -12.512
scfv_39_3_vs_cld9_human_model_model0	  -9.383
scfv_39_5_vs_cld10_human_model_model0	 -10.175
scfv_39_5_vs_cld11_human_model_model0	 -10.152
scfv_39_5_vs_cld12_human_model_model0	 -10.936
scfv_39_5_vs_cld14_human_model_model0	 -10.865
scfv_39_5_vs_cld15_human_model_model0	 -10.977
scfv_39_5_vs_cld16_human_model_model0	 -11.135
scfv_39_5_vs_cld17_human_model_model0	 -11.493
scfv_39_5_vs_cld182_human_model_model0	  -9.787
scfv_39_5_vs_cld18_human_model_model0	  -7.815
scfv_39_5_vs_cld19_human_model_model0	 -10.409
scfv_39_5_vs_cld1_human_model_model0	 -10.513
scfv_39_5_vs_cld20_human_model_model0	  -8.936
scfv_39_5_vs_cld22_human_model_model0	 -11.607
scfv_39_5_vs_cld23_human_model_model0	 -11.332
scfv_39_5_vs_cld24_human_model_model0	  -8.897
scfv_39_5_vs_cld25_human_model_model0	 -13.080
scfv_39_5_vs_cld2_human_model_model0	 -10.614
scfv_39_5_vs_cld34_human_model_model0	  -8.728
scfv_39_5_vs_cld3_human_model_model0	  -8.855
scfv_39_5_vs_cld5_human_model_model0	 -12.259
scfv_39_5_vs_cld6_human_model_model0	 -10.691
scfv_39_5_vs_cld7_human_model_model0	 -11.004
scfv_39_5_vs_cld8_human_model_model0	 -12.070
scfv_39_5_vs_cld9_human_model_model0	 -10.032
scfv_48_1_vs_cld10_human_model_model0	  -8.456
scfv_48_1_vs_cld11_human_model_model0	 -10.130
scfv_48_1_vs_cld12_human_model_model0	 -12.452
scfv_48_1_vs_cld14_human_model_model0	 -11.605
scfv_48_1_vs_cld15_human_model_model0	 -11.706
scfv_48_1_vs_cld16_human_model_model0	 -13.194
scfv_48_1_vs_cld17_human_model_model0	 -11.069
scfv_48_1_vs_cld182_human_model_model0	  -8.347
scfv_48_1_vs_cld18_human_model_model0	 -10.275
scfv_48_1_vs_cld19_human_model_model0	 -12.896
scfv_48_1_vs_cld1_human_model_model0	  -9.587
scfv_48_1_vs_cld20_human_model_model0	 -13.641
scfv_48_1_vs_cld22_human_model_model0	 -13.356
scfv_48_1_vs_cld23_human_model_model0	  -9.822
scfv_48_1_vs_cld24_human_model_model0	 -13.300
scfv_48_1_vs_cld25_human_model_model0	 -11.312
scfv_48_1_vs_cld2_human_model_model0	 -12.233
scfv_48_1_vs_cld34_human_model_model0	  -7.021
scfv_48_1_vs_cld3_human_model_model0	  -8.783
scfv_48_1_vs_cld5_human_model_model0	 -10.599
scfv_48_1_vs_cld6_human_model_model0	  -8.868
scfv_48_1_vs_cld7_human_model_model0	  -8.831
scfv_48_1_vs_cld8_human_model_model0	 -10.513
scfv_48_1_vs_cld9_human_model_model0	  -8.540
scfv_48_2_vs_cld10_human_model_model0	 -10.744
scfv_48_2_vs_cld11_human_model_model0	 -10.125
scfv_48_2_vs_cld12_human_model_model0	 -11.110
scfv_48_2_vs_cld14_human_model_model0	 -11.066
scfv_48_2_vs_cld15_human_model_model0	 -12.721
scfv_48_2_vs_cld16_human_model_model0	 -13.244
scfv_48_2_vs_cld17_human_model_model0	 -12.795
scfv_48_2_vs_cld182_human_model_model0	 -10.760
scfv_48_2_vs_cld18_human_model_model0	 -14.126
scfv_48_2_vs_cld19_human_model_model0	 -12.696
scfv_48_2_vs_cld1_human_model_model0	 -12.317
scfv_48_2_vs_cld20_human_model_model0	 -13.046
scfv_48_2_vs_cld22_human_model_model0	 -13.578
scfv_48_2_vs_cld23_human_model_model0	 -10.775
scfv_48_2_vs_cld24_human_model_model0	 -12.898
scfv_48_2_vs_cld25_human_model_model0	 -10.849
scfv_48_2_vs_cld2_human_model_model0	 -14.518
scfv_48_2_vs_cld34_human_model_model0	  -8.516
scfv_48_2_vs_cld3_human_model_model0	  -8.927
scfv_48_2_vs_cld5_human_model_model0	 -13.698
scfv_48_2_vs_cld6_human_model_model0	 -13.903
scfv_48_2_vs_cld7_human_model_model0	 -12.609
scfv_48_2_vs_cld8_human_model_model0	 -10.727
scfv_48_2_vs_cld9_human_model_model0	 -14.769
scfv_50_2_vs_cld10_human_model_model0	 -11.470
scfv_50_2_vs_cld11_human_model_model0	 -10.150
scfv_50_2_vs_cld12_human_model_model0	 -13.496
scfv_50_2_vs_cld14_human_model_model0	  -8.843
scfv_50_2_vs_cld15_human_model_model0	  -9.764
scfv_50_2_vs_cld16_human_model_model0	 -11.501
scfv_50_2_vs_cld17_human_model_model0	  -8.512
scfv_50_2_vs_cld182_human_model_model0	  -8.261
scfv_50_2_vs_cld18_human_model_model0	  -9.495
scfv_50_2_vs_cld19_human_model_model0	  -9.360
scfv_50_2_vs_cld1_human_model_model0	 -10.042
scfv_50_2_vs_cld20_human_model_model0	  -8.565
scfv_50_2_vs_cld22_human_model_model0	 -12.360
scfv_50_2_vs_cld23_human_model_model0	  -9.139
scfv_50_2_vs_cld24_human_model_model0	 -11.260
scfv_50_2_vs_cld25_human_model_model0	 -10.710
scfv_50_2_vs_cld2_human_model_model0	  -8.548
scfv_50_2_vs_cld34_human_model_model0	 -10.549
scfv_50_2_vs_cld3_human_model_model0	  -9.688
scfv_50_2_vs_cld5_human_model_model0	  -9.230
scfv_50_2_vs_cld6_human_model_model0	 -10.013
scfv_50_2_vs_cld7_human_model_model0	 -10.240
scfv_50_2_vs_cld8_human_model_model0	 -10.157
scfv_50_2_vs_cld9_human_model_model0	 -10.709
scfv_55_6_vs_cld10_human_model_model0	 -11.281
scfv_55_6_vs_cld11_human_model_model0	  -9.680
scfv_55_6_vs_cld12_human_model_model0	 -13.476
scfv_55_6_vs_cld14_human_model_model0	 -10.645
scfv_55_6_vs_cld15_human_model_model0	 -10.723
scfv_55_6_vs_cld16_human_model_model0	 -10.934
scfv_55_6_vs_cld17_human_model_model0	 -13.365
scfv_55_6_vs_cld182_human_model_model0	 -10.143
scfv_55_6_vs_cld18_human_model_model0	 -11.856
scfv_55_6_vs_cld19_human_model_model0	 -10.296
scfv_55_6_vs_cld1_human_model_model0	 -13.145
scfv_55_6_vs_cld20_human_model_model0	 -12.446
scfv_55_6_vs_cld22_human_model_model0	 -13.809
scfv_55_6_vs_cld23_human_model_model0	  -9.827
scfv_55_6_vs_cld24_human_model_model0	 -13.306
scfv_55_6_vs_cld25_human_model_model0	 -11.262
scfv_55_6_vs_cld2_human_model_model0	 -11.531
scfv_55_6_vs_cld34_human_model_model0	 -11.104
scfv_55_6_vs_cld3_human_model_model0	 -12.150
scfv_55_6_vs_cld5_human_model_model0	  -9.335
scfv_55_6_vs_cld6_human_model_model0	 -13.398
scfv_55_6_vs_cld7_human_model_model0	 -13.321
scfv_55_6_vs_cld8_human_model_model0	 -11.146
scfv_55_6_vs_cld9_human_model_model0	 -14.085
scfv_55_9_vs_cld10_human_model_model0	 -10.016
scfv_55_9_vs_cld11_human_model_model0	  -9.317
scfv_55_9_vs_cld12_human_model_model0	 -11.166
scfv_55_9_vs_cld14_human_model_model0	 -10.672
scfv_55_9_vs_cld15_human_model_model0	 -12.921
scfv_55_9_vs_cld16_human_model_model0	 -12.178
scfv_55_9_vs_cld17_human_model_model0	 -10.560
scfv_55_9_vs_cld182_human_model_model0	  -9.704
scfv_55_9_vs_cld18_human_model_model0	 -10.187
scfv_55_9_vs_cld19_human_model_model0	  -9.836
scfv_55_9_vs_cld1_human_model_model0	 -11.587
scfv_55_9_vs_cld20_human_model_model0	 -13.564
scfv_55_9_vs_cld22_human_model_model0	 -10.660
scfv_55_9_vs_cld23_human_model_model0	  -8.135
scfv_55_9_vs_cld24_human_model_model0	 -10.102
scfv_55_9_vs_cld25_human_model_model0	 -11.878
scfv_55_9_vs_cld2_human_model_model0	 -11.311
scfv_55_9_vs_cld34_human_model_model0	  -9.519
scfv_55_9_vs_cld3_human_model_model0	 -11.230
scfv_55_9_vs_cld5_human_model_model0	 -11.817
scfv_55_9_vs_cld6_human_model_model0	 -11.094
scfv_55_9_vs_cld7_human_model_model0	  -9.445
scfv_55_9_vs_cld8_human_model_model0	 -11.670
scfv_55_9_vs_cld9_human_model_model0	 -10.179
scfv_66_2_vs_cld10_human_model_model0	 -10.641
scfv_66_2_vs_cld11_human_model_model0	 -10.465
scfv_66_2_vs_cld12_human_model_model0	 -12.151
scfv_66_2_vs_cld14_human_model_model0	 -10.461
scfv_66_2_vs_cld15_human_model_model0	 -11.789
scfv_66_2_vs_cld16_human_model_model0	 -10.938
scfv_66_2_vs_cld17_human_model_model0	 -10.548
scfv_66_2_vs_cld182_human_model_model0	 -10.476
scfv_66_2_vs_cld18_human_model_model0	 -10.237
scfv_66_2_vs_cld19_human_model_model0	  -8.916
scfv_66_2_vs_cld1_human_model_model0	 -11.413
scfv_66_2_vs_cld20_human_model_model0	  -9.618
scfv_66_2_vs_cld22_human_model_model0	 -10.999
scfv_66_2_vs_cld23_human_model_model0	  -8.520
scfv_66_2_vs_cld24_human_model_model0	 -10.939
scfv_66_2_vs_cld25_human_model_model0	 -11.810
scfv_66_2_vs_cld2_human_model_model0	 -11.160
scfv_66_2_vs_cld34_human_model_model0	  -9.371
scfv_66_2_vs_cld3_human_model_model0	  -9.471
scfv_66_2_vs_cld5_human_model_model0	  -9.883
scfv_66_2_vs_cld6_human_model_model0	 -10.077
scfv_66_2_vs_cld7_human_model_model0	  -9.666
scfv_66_2_vs_cld8_human_model_model0	 -11.242
scfv_66_2_vs_cld9_human_model_model0	 -11.243
scfv_66_6_vs_cld10_human_model_model0	 -11.013
scfv_66_6_vs_cld11_human_model_model0	 -11.156
scfv_66_6_vs_cld12_human_model_model0	 -10.186
scfv_66_6_vs_cld14_human_model_model0	 -11.301
scfv_66_6_vs_cld15_human_model_model0	 -11.771
scfv_66_6_vs_cld16_human_model_model0	 -12.488
scfv_66_6_vs_cld17_human_model_model0	 -10.107
scfv_66_6_vs_cld182_human_model_model0	  -9.203
scfv_66_6_vs_cld18_human_model_model0	 -11.291
scfv_66_6_vs_cld19_human_model_model0	 -10.212
scfv_66_6_vs_cld1_human_model_model0	 -11.185
scfv_66_6_vs_cld20_human_model_model0	  -7.809
scfv_66_6_vs_cld22_human_model_model0	 -13.577
scfv_66_6_vs_cld23_human_model_model0	 -10.482
scfv_66_6_vs_cld24_human_model_model0	 -13.000
scfv_66_6_vs_cld25_human_model_model0	 -11.837
scfv_66_6_vs_cld2_human_model_model0	 -10.955
scfv_66_6_vs_cld34_human_model_model0	 -11.927
scfv_66_6_vs_cld3_human_model_model0	  -9.262
scfv_66_6_vs_cld5_human_model_model0	  -9.175
scfv_66_6_vs_cld6_human_model_model0	  -8.790
scfv_66_6_vs_cld7_human_model_model0	 -10.571
scfv_66_6_vs_cld8_human_model_model0	  -8.999
scfv_66_6_vs_cld9_human_model_model0	  -8.368
scfv_66_8_vs_cld10_human_model_model0	 -11.308
scfv_66_8_vs_cld11_human_model_model0	 -13.547
scfv_66_8_vs_cld12_human_model_model0	  -9.565
scfv_66_8_vs_cld14_human_model_model0	 -11.836
scfv_66_8_vs_cld15_human_model_model0	 -12.866
scfv_66_8_vs_cld16_human_model_model0	 -10.317
scfv_66_8_vs_cld17_human_model_model0	 -10.897
scfv_66_8_vs_cld182_human_model_model0	 -11.928
scfv_66_8_vs_cld18_human_model_model0	 -11.649
scfv_66_8_vs_cld19_human_model_model0	 -10.946
scfv_66_8_vs_cld1_human_model_model0	 -10.501
scfv_66_8_vs_cld20_human_model_model0	  -9.392
scfv_66_8_vs_cld22_human_model_model0	  -9.300
scfv_66_8_vs_cld23_human_model_model0	 -10.743
scfv_66_8_vs_cld24_human_model_model0	  -9.080
scfv_66_8_vs_cld25_human_model_model0	  -7.986
scfv_66_8_vs_cld2_human_model_model0	 -12.295
scfv_66_8_vs_cld34_human_model_model0	  -8.560
scfv_66_8_vs_cld3_human_model_model0	  -9.411
scfv_66_8_vs_cld5_human_model_model0	  -9.457
scfv_66_8_vs_cld6_human_model_model0	  -9.026
scfv_66_8_vs_cld7_human_model_model0	 -11.112
scfv_66_8_vs_cld8_human_model_model0	 -11.358
scfv_66_8_vs_cld9_human_model_model0	 -12.117
scfv_73_0_vs_cld10_human_model_model0	 -10.938
scfv_73_0_vs_cld11_human_model_model0	 -11.169
scfv_73_0_vs_cld12_human_model_model0	  -9.666
scfv_73_0_vs_cld14_human_model_model0	 -12.259
scfv_73_0_vs_cld15_human_model_model0	  -9.421
scfv_73_0_vs_cld16_human_model_model0	 -15.879
scfv_73_0_vs_cld17_human_model_model0	  -8.583
scfv_73_0_vs_cld182_human_model_model0	 -13.815
scfv_73_0_vs_cld18_human_model_model0	 -12.486
scfv_73_0_vs_cld19_human_model_model0	 -12.122
scfv_73_0_vs_cld1_human_model_model0	  -9.618
scfv_73_0_vs_cld20_human_model_model0	  -9.487
scfv_73_0_vs_cld22_human_model_model0	 -10.834
scfv_73_0_vs_cld23_human_model_model0	 -10.582
scfv_73_0_vs_cld24_human_model_model0	 -10.914
scfv_73_0_vs_cld25_human_model_model0	 -10.795
scfv_73_0_vs_cld2_human_model_model0	 -11.584
scfv_73_0_vs_cld34_human_model_model0	  -8.514
