Structure	Affinity_kcal-mol
ixotatug_vs_cld17_model_model0	  -9.394
ixotatug_vs_cld18_2_model_model0	 -10.206
ixotatug_vs_cld18_model_model0	 -10.779
ixotatug_vs_cld19_model_model0	 -10.853
ixotatug_vs_cld1_model_model0	 -12.597
ixotatug_vs_cld20_model_model0	 -11.018
ixotatug_vs_cld22_model_model0	 -10.427
ixotatug_vs_cld23_model_model0	  -9.202
ixotatug_vs_cld24_model_model0	 -10.511
ixotatug_vs_cld25_model_model0	 -11.930
ixotatug_vs_cld2_model_model0	  -6.231
ixotatug_vs_cld34_model_model0	  -9.870
ixotatug_vs_cld3_model_model0	  -7.367
ixotatug_vs_cld4_model_model0	 -11.855
ixotatug_vs_cld5_model_model0	  -7.527
ixotatug_vs_cld6_model_model0	 -14.687
ixotatug_vs_cld7_model_model0	 -12.123
ixotatug_vs_cld8_model_model0	  -8.764
ixotatug_vs_cld9_model_model0	  -9.019
lixudebart_vs_cld10_model_model0	 -10.154
lixudebart_vs_cld11_model_model0	  -8.076
lixudebart_vs_cld12_model_model0	 -10.461
lixudebart_vs_cld14_model_model0	 -11.280
lixudebart_vs_cld15_model_model0	 -10.363
lixudebart_vs_cld16_model_model0	 -12.283
lixudebart_vs_cld17_model_model0	 -12.024
lixudebart_vs_cld18_2_model_model0	  -9.098
lixudebart_vs_cld18_model_model0	  -8.564
lixudebart_vs_cld19_model_model0	 -11.851
lixudebart_vs_cld1_model_model0	 -12.867
lixudebart_vs_cld20_model_model0	  -9.094
lixudebart_vs_cld22_model_model0	 -11.662
lixudebart_vs_cld23_model_model0	 -11.326
lixudebart_vs_cld24_model_model0	 -11.313
lixudebart_vs_cld25_model_model0	 -11.224
lixudebart_vs_cld2_model_model0	 -13.362
lixudebart_vs_cld34_model_model0	  -7.718
lixudebart_vs_cld3_model_model0	 -11.394
lixudebart_vs_cld4_model_model0	 -12.779
lixudebart_vs_cld5_model_model0	  -9.252
lixudebart_vs_cld6_model_model0	 -11.685
lixudebart_vs_cld7_model_model0	 -11.953
lixudebart_vs_cld8_model_model0	 -10.994
lixudebart_vs_cld9_model_model0	 -11.360
omectatug_vs_cld10_model_model0	 -10.281
omectatug_vs_cld11_model_model0	 -12.377
omectatug_vs_cld12_model_model0	  -9.223
omectatug_vs_cld14_model_model0	 -11.906
omectatug_vs_cld15_model_model0	  -9.019
omectatug_vs_cld16_model_model0	 -10.697
omectatug_vs_cld17_model_model0	 -11.159
omectatug_vs_cld18_2_model_model0	 -10.393
omectatug_vs_cld18_model_model0	 -10.948
omectatug_vs_cld19_model_model0	 -11.978
omectatug_vs_cld1_model_model0	 -13.268
omectatug_vs_cld20_model_model0	  -9.571
omectatug_vs_cld22_model_model0	 -10.326
omectatug_vs_cld23_model_model0	 -11.411
omectatug_vs_cld24_model_model0	 -10.465
omectatug_vs_cld25_model_model0	 -10.486
omectatug_vs_cld2_model_model0	 -12.865
omectatug_vs_cld34_model_model0	 -11.477
omectatug_vs_cld3_model_model0	 -11.084
omectatug_vs_cld4_model_model0	 -12.242
omectatug_vs_cld5_model_model0	 -11.096
omectatug_vs_cld6_model_model0	 -12.168
omectatug_vs_cld7_model_model0	 -13.787
omectatug_vs_cld8_model_model0	 -12.034
omectatug_vs_cld9_model_model0	 -12.704
osemitamab_vs_cld10_model_model0	 -10.370
osemitamab_vs_cld11_model_model0	 -10.473
osemitamab_vs_cld12_model_model0	  -9.937
osemitamab_vs_cld14_model_model0	 -10.229
osemitamab_vs_cld15_model_model0	 -11.211
osemitamab_vs_cld16_model_model0	 -10.314
osemitamab_vs_cld17_model_model0	  -9.570
osemitamab_vs_cld18_2_model_model0	  -9.558
osemitamab_vs_cld18_model_model0	 -11.623
osemitamab_vs_cld19_model_model0	 -10.728
osemitamab_vs_cld1_model_model0	 -11.939
osemitamab_vs_cld20_model_model0	 -12.393
osemitamab_vs_cld22_model_model0	  -9.621
osemitamab_vs_cld23_model_model0	 -12.993
osemitamab_vs_cld24_model_model0	 -11.241
osemitamab_vs_cld25_model_model0	  -7.939
osemitamab_vs_cld2_model_model0	 -12.491
osemitamab_vs_cld34_model_model0	 -12.588
osemitamab_vs_cld3_model_model0	 -10.809
osemitamab_vs_cld4_model_model0	  -9.933
osemitamab_vs_cld5_model_model0	  -9.119
osemitamab_vs_cld6_model_model0	  -8.961
osemitamab_vs_cld7_model_model0	 -10.377
osemitamab_vs_cld8_model_model0	  -9.779
osemitamab_vs_cld9_model_model0	  -9.308
sonesitamab_vs_cld10_model_model0	 -11.688
sonesitamab_vs_cld11_model_model0	 -10.197
sonesitamab_vs_cld12_model_model0	 -11.242
sonesitamab_vs_cld14_model_model0	 -12.683
sonesitamab_vs_cld15_model_model0	 -15.690
sonesitamab_vs_cld16_model_model0	 -10.243
sonesitamab_vs_cld17_model_model0	 -12.365
sonesitamab_vs_cld18_2_model_model0	 -10.664
sonesitamab_vs_cld18_model_model0	 -13.359
sonesitamab_vs_cld19_model_model0	 -13.786
sonesitamab_vs_cld1_model_model0	 -11.879
sonesitamab_vs_cld20_model_model0	 -11.448
sonesitamab_vs_cld22_model_model0	 -10.846
sonesitamab_vs_cld23_model_model0	 -14.116
sonesitamab_vs_cld24_model_model0	 -13.970
sonesitamab_vs_cld25_model_model0	 -11.097
sonesitamab_vs_cld2_model_model0	 -14.115
sonesitamab_vs_cld34_model_model0	 -12.865
sonesitamab_vs_cld3_model_model0	 -11.652
sonesitamab_vs_cld4_model_model0	 -11.144
sonesitamab_vs_cld5_model_model0	 -10.765
sonesitamab_vs_cld6_model_model0	 -15.182
sonesitamab_vs_cld7_model_model0	 -12.208
sonesitamab_vs_cld8_model_model0	 -11.812
sonesitamab_vs_cld9_model_model0	 -11.138
tecotabart_vs_cld10_model_model0	 -12.170
tecotabart_vs_cld11_model_model0	 -12.843
tecotabart_vs_cld12_model_model0	 -10.565
tecotabart_vs_cld14_model_model0	 -14.652
tecotabart_vs_cld15_model_model0	 -10.743
tecotabart_vs_cld16_model_model0	  -9.957
tecotabart_vs_cld17_model_model0	  -8.494
tecotabart_vs_cld18_2_model_model0	  -9.855
tecotabart_vs_cld18_model_model0	  -9.616
tecotabart_vs_cld19_model_model0	  -9.378
tecotabart_vs_cld1_model_model0	 -11.408
tecotabart_vs_cld20_model_model0	 -10.946
tecotabart_vs_cld22_model_model0	  -8.273
tecotabart_vs_cld23_model_model0	 -11.682
tecotabart_vs_cld24_model_model0	  -7.725
tecotabart_vs_cld25_model_model0	  -8.059
tecotabart_vs_cld2_model_model0	 -10.826
tecotabart_vs_cld34_model_model0	 -10.145
tecotabart_vs_cld3_model_model0	  -8.772
tecotabart_vs_cld4_model_model0	 -10.453
tecotabart_vs_cld5_model_model0	  -8.964
tecotabart_vs_cld6_model_model0	  -9.011
tecotabart_vs_cld7_model_model0	 -11.435
tecotabart_vs_cld8_model_model0	 -13.125
tecotabart_vs_cld9_model_model0	 -11.456
zolbetuximab_vs_cld10_model_model0	 -12.417
zolbetuximab_vs_cld11_model_model0	 -12.204
zolbetuximab_vs_cld12_model_model0	  -9.460
zolbetuximab_vs_cld14_model_model0	 -10.344
zolbetuximab_vs_cld15_model_model0	 -12.100
zolbetuximab_vs_cld16_model_model0	 -10.568
zolbetuximab_vs_cld17_model_model0	 -13.334
zolbetuximab_vs_cld18_2_model_model0	  -8.809
zolbetuximab_vs_cld18_model_model0	 -12.147
zolbetuximab_vs_cld19_model_model0	 -11.855
zolbetuximab_vs_cld1_model_model0	 -14.175
zolbetuximab_vs_cld20_model_model0	 -10.407
zolbetuximab_vs_cld22_model_model0	 -10.720
zolbetuximab_vs_cld23_model_model0	 -12.557
zolbetuximab_vs_cld24_model_model0	 -10.578
zolbetuximab_vs_cld25_model_model0	  -9.201
zolbetuximab_vs_cld2_model_model0	 -10.868
zolbetuximab_vs_cld34_model_model0	 -11.686
zolbetuximab_vs_cld3_model_model0	  -8.907
zolbetuximab_vs_cld4_model_model0	 -11.263
zolbetuximab_vs_cld5_model_model0	 -11.807
zolbetuximab_vs_cld6_model_model0	  -9.955
zolbetuximab_vs_cld7_model_model0	 -11.694
zolbetuximab_vs_cld8_model_model0	 -11.845
zolbetuximab_vs_cld9_model_model0	  -9.972
