pTM,Has_Clash,Fraction_Disordered,Ranking_Score,Matrix_iPTM,Matrix_PAE,Sample_ID,JSON_Path,Affinity_dG,Scientific_Score,MAb,Target
0.65,0,0.07,0.61,0.355,6.64,tecotabart_vs_cld8,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD8/tecotabart_vs_cld8/tecotabart_vs_cld8_summary_confidences.json,-13.125,0.6444519735006178,tecotabart,cld8
0.65,0,0.05,0.6,0.42,6.6,gresonitamab_vs_cld7,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD7/gresonitamab_vs_cld7/gresonitamab_vs_cld7_summary_confidences.json,-10.571,0.6328386727190352,gresonitamab,cld7
0.66,0,0.07,0.61,0.405,7.56,omectatug_vs_cld8,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD8/omectatug_vs_cld8/omectatug_vs_cld8_summary_confidences.json,-12.034,0.6250931067212528,omectatug,cld8
0.58,0,0.09,0.54,0.33,5.73,zolbetuximab_vs_cld16,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD16/zolbetuximab_vs_cld16/zolbetuximab_vs_cld16_summary_confidences.json,-10.568,0.6208031478070184,zolbetuximab,cld16
0.6,0,0.07,0.54,0.29500000000000004,6.45,omectatug_vs_cld9,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD9/omectatug_vs_cld9/omectatug_vs_cld9_summary_confidences.json,-12.704,0.6202060305044549,omectatug,cld9
0.64,0,0.05,0.58,0.325,6.8,ixotatug_vs_cld4,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD4/ixotatug_vs_cld4/ixotatug_vs_cld4_summary_confidences.json,-11.855,0.616108426815063,ixotatug,cld4
0.61,0,0.2,0.63,0.43,7.01,osemitamab_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD23/osemitamab_vs_cld23/osemitamab_vs_cld23_summary_confidences.json,-12.993,0.6066867189694432,osemitamab,cld23
0.64,0,0.08,0.6,0.43,5.78,tecotabart_vs_cld19,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD19/tecotabart_vs_cld19/tecotabart_vs_cld19_summary_confidences.json,-9.378,0.6064905163510306,tecotabart,cld19
0.62,0,0.05,0.56,0.275,7.13,eclutatug_vs_cld4,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD4/eclutatug_vs_cld4/eclutatug_vs_cld4_summary_confidences.json,-12.779,0.5903447552604865,eclutatug,cld4
0.62,0,0.05,0.56,0.275,7.13,lixudebart_vs_cld4,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD4/lixudebart_vs_cld4/lixudebart_vs_cld4_summary_confidences.json,-12.779,0.5903447552604865,lixudebart,cld4
0.61,0,0.07,0.56,0.295,6.93,omectatug_vs_cld17,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD17/omectatug_vs_cld17/omectatug_vs_cld17_summary_confidences.json,-11.159,0.5841981293135612,omectatug,cld17
0.61,0,0.05,0.54,0.245,6.61,zolbetuximab_vs_cld4,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD4/zolbetuximab_vs_cld4/zolbetuximab_vs_cld4_summary_confidences.json,-11.263,0.5779415011972192,zolbetuximab,cld4
0.59,0,0.08,0.55,0.36,5.43,gresonitamab_vs_cld25,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD25/gresonitamab_vs_cld25/gresonitamab_vs_cld25_summary_confidences.json,-9.24,0.5775712694596553,gresonitamab,cld25
0.65,0,0.05,0.59,0.325,8.12,zolbetuximab_vs_cld11,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD11/zolbetuximab_vs_cld11/zolbetuximab_vs_cld11_summary_confidences.json,-12.204,0.5738175603507982,zolbetuximab,cld11
0.62,0,0.06,0.56,0.32,8.23,garetatug_vs_cld24,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD24/garetatug_vs_cld24/garetatug_vs_cld24_summary_confidences.json,-12.173,0.5645942274224979,garetatug,cld24
0.57,0,0.07,0.51,0.22999999999999998,6.56,ixotatug_vs_cld20,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD20/ixotatug_vs_cld20/ixotatug_vs_cld20_summary_confidences.json,-11.018,0.56395422589655,ixotatug,cld20
0.62,0,0.03,0.54,0.255,5.49,garetatug_vs_cld34,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD34/garetatug_vs_cld34/garetatug_vs_cld34_summary_confidences.json,-9.677,0.5622671999813592,garetatug,cld34
0.59,0,0.09,0.54,0.3,8.22,gresonitamab_vs_cld15,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD15/gresonitamab_vs_cld15/gresonitamab_vs_cld15_summary_confidences.json,-13.017,0.5595779021192501,gresonitamab,cld15
0.64,0,0.05,0.57,0.325,5.55,garetatug_vs_cld7,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD7/garetatug_vs_cld7/garetatug_vs_cld7_summary_confidences.json,-9.084,0.5546040580337759,garetatug,cld7
0.59,0,0.08,0.53,0.27,7.25,osemitamab_vs_cld3,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD3/osemitamab_vs_cld3/osemitamab_vs_cld3_summary_confidences.json,-10.809,0.5514531000890758,osemitamab,cld3
0.58,0,0.11,0.55,0.3,7.7,gresonitamab_vs_cld14,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD14/gresonitamab_vs_cld14/gresonitamab_vs_cld14_summary_confidences.json,-10.894,0.5488741624855289,gresonitamab,cld14
0.56,0,0.09,0.5,0.215,7.28,ixotatug_vs_cld15,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD15/ixotatug_vs_cld15/ixotatug_vs_cld15_summary_confidences.json,-11.9,0.5475330378018242,ixotatug,cld15
0.59,0,0.03,0.51,0.20500000000000002,7.45,osemitamab_vs_cld34,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD34/osemitamab_vs_cld34/osemitamab_vs_cld34_summary_confidences.json,-12.588,0.546772640023497,osemitamab,cld34
0.63,0,0.05,0.56,0.28,7.04,sonesitamab_vs_cld11,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/sonesitamab_offtarget_af3_output/sonesitamab_vs_CLD11/sonesitamab_vs_cld11/sonesitamab_vs_cld11_summary_confidences.json,-10.197,0.5441405247203013,sonesitamab,cld11
0.58,0,0.11,0.54,0.28,7.14,zolbetuximab_vs_cld14,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD14/zolbetuximab_vs_cld14/zolbetuximab_vs_cld14_summary_confidences.json,-10.344,0.5418581711723033,zolbetuximab,cld14
0.57,0,0.06,0.5,0.24,7.05,omectatug_vs_cld24,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD24/omectatug_vs_cld24/omectatug_vs_cld24_summary_confidences.json,-10.465,0.532859769488336,omectatug,cld24
0.58,0,0.09,0.52,0.19,7.87,garetatug_vs_cld15,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD15/garetatug_vs_cld15/garetatug_vs_cld15_summary_confidences.json,-15.672,0.5311839339746045,garetatug,cld15
0.6,0,0.08,0.55,0.26,7.81,tecotabart_vs_cld2,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD2/tecotabart_vs_cld2/tecotabart_vs_cld2_summary_confidences.json,-10.826,0.5289639879217599,tecotabart,cld2
0.58,0,0.06,0.5,0.245,7.09,omectatug_vs_cld22,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD22/omectatug_vs_cld22/omectatug_vs_cld22_summary_confidences.json,-10.326,0.5289016973918473,omectatug,cld22
0.59,0,0.08,0.53,0.19,7.79,garetatug_vs_cld3,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD3/garetatug_vs_cld3/garetatug_vs_cld3_summary_confidences.json,-12.08,0.5243721890081076,garetatug,cld3
0.6,0,0.07,0.54,0.245,8.21,lixudebart_vs_cld9,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD9/lixudebart_vs_cld9/lixudebart_vs_cld9_summary_confidences.json,-11.36,0.5217885942331637,lixudebart,cld9
0.6,0,0.07,0.54,0.245,8.21,eclutatug_vs_cld9,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD9/eclutatug_vs_cld9/eclutatug_vs_cld9_summary_confidences.json,-11.36,0.5217885942331637,eclutatug,cld9
0.62,0,0.06,0.56,0.29000000000000004,6.54,gresonitamab_vs_cld24,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD24/gresonitamab_vs_cld24/gresonitamab_vs_cld24_summary_confidences.json,-9.239,0.5128668000728179,gresonitamab,cld24
0.6,0,0.05,0.53,0.22999999999999998,8.79,lixudebart_vs_cld1,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD1/lixudebart_vs_cld1/lixudebart_vs_cld1_summary_confidences.json,-12.867,0.511519777663315,lixudebart,cld1
0.6,0,0.05,0.53,0.22999999999999998,8.79,eclutatug_vs_cld1,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD1/eclutatug_vs_cld1/eclutatug_vs_cld1_summary_confidences.json,-12.867,0.511519777663315,eclutatug,cld1
0.62,0,0.08,0.57,0.30500000000000005,6.22,zolbetuximab_vs_cld3,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD3/zolbetuximab_vs_cld3/zolbetuximab_vs_cld3_summary_confidences.json,-8.907,0.509620257167738,zolbetuximab,cld3
0.6,0,0.03,0.51,0.215,8.38,zolbetuximab_vs_cld34,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD34/zolbetuximab_vs_cld34/zolbetuximab_vs_cld34_summary_confidences.json,-11.686,0.509334580304627,zolbetuximab,cld34
0.58,0,0.08,0.51,0.19,7.75,garetatug_vs_cld6,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD6/garetatug_vs_cld6/garetatug_vs_cld6_summary_confidences.json,-11.039,0.5069935648787807,garetatug,cld6
0.58,0,0.07,0.51,0.235,7.15,zolbetuximab_vs_cld9,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD9/zolbetuximab_vs_cld9/zolbetuximab_vs_cld9_summary_confidences.json,-9.972,0.5065937758835111,zolbetuximab,cld9
0.63,0,0.05,0.57,0.28,8.39,tecotabart_vs_cld4,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD4/tecotabart_vs_cld4/tecotabart_vs_cld4_summary_confidences.json,-10.453,0.506543498320883,tecotabart,cld4
0.61,0,0.05,0.54,0.245,8.95,eclutatug_vs_cld7,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD7/eclutatug_vs_cld7/eclutatug_vs_cld7_summary_confidences.json,-11.953,0.5055298427886462,eclutatug,cld7
0.61,0,0.05,0.54,0.245,8.95,lixudebart_vs_cld7,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD7/lixudebart_vs_cld7/lixudebart_vs_cld7_summary_confidences.json,-11.953,0.5055298427886462,lixudebart,cld7
0.59,0,0.05,0.52,0.29,8.46,osemitamab_vs_cld7,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD7/osemitamab_vs_cld7/osemitamab_vs_cld7_summary_confidences.json,-10.377,0.5010557601547692,osemitamab,cld7
0.55,0,0.08,0.49,0.155,7.79,garetatug_vs_cld2,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD2/garetatug_vs_cld2/garetatug_vs_cld2_summary_confidences.json,-11.621,0.5004073768812672,garetatug,cld2
0.56,0,0.2,0.57,0.28,7.68,lixudebart_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD23/lixudebart_vs_cld23/lixudebart_vs_cld23_summary_confidences.json,-11.326,0.5000376088765711,lixudebart,cld23
0.56,0,0.2,0.57,0.28,7.68,eclutatug_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD23/eclutatug_vs_cld23/eclutatug_vs_cld23_summary_confidences.json,-11.326,0.5000376088765711,eclutatug,cld23
0.57,0,0.08,0.51,0.175,8.26,omectatug_vs_cld19,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD19/omectatug_vs_cld19/omectatug_vs_cld19_summary_confidences.json,-11.978,0.4984640000521959,omectatug,cld19
0.59,0,0.09,0.54,0.22999999999999998,9.01,tecotabart_vs_cld10,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD10/tecotabart_vs_cld10/tecotabart_vs_cld10_summary_confidences.json,-12.17,0.49770811043003693,tecotabart,cld10
0.61,0,0.05,0.54,0.22,9.14,omectatug_vs_cld1,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD1/omectatug_vs_cld1/omectatug_vs_cld1_summary_confidences.json,-13.268,0.497688803974094,omectatug,cld1
0.59,0,0.07,0.52,0.2,8.38,garetatug_vs_cld8,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD8/garetatug_vs_cld8/garetatug_vs_cld8_summary_confidences.json,-11.346,0.4964396544522116,garetatug,cld8
0.59,0,0.09,0.54,0.245,8.11,lixudebart_vs_cld15,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD15/lixudebart_vs_cld15/lixudebart_vs_cld15_summary_confidences.json,-10.363,0.49499028235849774,lixudebart,cld15
0.59,0,0.09,0.54,0.245,8.11,eclutatug_vs_cld15,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD15/eclutatug_vs_cld15/eclutatug_vs_cld15_summary_confidences.json,-10.363,0.49499028235849774,eclutatug,cld15
0.6,0,0.07,0.53,0.22499999999999998,9.12,sonesitamab_vs_cld17,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/sonesitamab_offtarget_af3_output/sonesitamab_vs_CLD17/sonesitamab_vs_cld17/sonesitamab_vs_cld17_summary_confidences.json,-12.365,0.49450529551025996,sonesitamab,cld17
0.58,0,0.05,0.49,0.15,8.24,omectatug_vs_cld11,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD11/omectatug_vs_cld11/omectatug_vs_cld11_summary_confidences.json,-12.377,0.4940302004081786,omectatug,cld11
0.59,0,0.07,0.52,0.215,8.97,omectatug_vs_cld6,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD6/omectatug_vs_cld6/omectatug_vs_cld6_summary_confidences.json,-12.168,0.4931173213224727,omectatug,cld6
0.6,0,0.06,0.54,0.31,9.08,ixotatug_vs_cld24,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD24/ixotatug_vs_cld24/ixotatug_vs_cld24_summary_confidences.json,-10.511,0.4930880541637215,ixotatug,cld24
0.54,0,0.2,0.55,0.22999999999999998,7.41,omectatug_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD23/omectatug_vs_cld23/omectatug_vs_cld23_summary_confidences.json,-11.411,0.4893441393444766,omectatug,cld23
0.6,0,0.06,0.54,0.32,6.42,gresonitamab_vs_cld22,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD22/gresonitamab_vs_cld22/gresonitamab_vs_cld22_summary_confidences.json,-8.62,0.4888174385521786,gresonitamab,cld22
0.58,0,0.03,0.5,0.2,7.12,ixotatug_vs_cld34,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD34/ixotatug_vs_cld34/ixotatug_vs_cld34_summary_confidences.json,-9.87,0.488472138785237,ixotatug,cld34
0.56,0,0.12,0.52,0.225,8.55,omectatug_vs_cld18,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD18/omectatug_vs_cld18/omectatug_vs_cld18_summary_confidences.json,-10.948,0.48802138530665884,omectatug,cld18
0.56,0,0.13,0.53,0.225,8.83,gresonitamab_vs_cld18,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD18/gresonitamab_vs_cld18/gresonitamab_vs_cld18_summary_confidences.json,-11.375,0.48793952446253064,gresonitamab,cld18
0.59,0,0.07,0.53,0.32999999999999996,10.0,eclutatug_vs_cld8,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD8/eclutatug_vs_cld8/eclutatug_vs_cld8_summary_confidences.json,-10.994,0.482469990364299,eclutatug,cld8
0.59,0,0.07,0.53,0.32999999999999996,10.0,lixudebart_vs_cld8,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD8/lixudebart_vs_cld8/lixudebart_vs_cld8_summary_confidences.json,-10.994,0.482469990364299,lixudebart,cld8
0.59,0,0.05,0.52,0.185,9.11,garetatug_vs_cld1,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD1/garetatug_vs_cld1/garetatug_vs_cld1_summary_confidences.json,-12.79,0.4806902051759432,garetatug,cld1
